#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
500,1.0000000000000007,-59.618748153501656,41.01893091089717,-18.599817242604487,193.4683694897441,0
1000,2.0000000000000013,-63.00686868301227,58.3129369332319,-4.6939317497803685,275.03663742814746,1.69e+03
1500,2.999999999999891,-84.46969723165967,67.84630029362151,-16.623396938038155,320.0013457745041,1.65e+03
2000,3.999999999999781,-62.06527067981733,75.94202735253327,13.876756672715942,358.18535201601156,1.67e+03
2500,4.999999999999671,-75.18948012063049,67.4525745909514,-7.736905529679092,318.1443137156419,1.69e+03
3000,5.999999999999561,-75.20265898250386,67.55569316454977,-7.646965817954097,318.6306789585957,1.72e+03
3500,6.999999999999451,-46.24927422551991,55.51724420158689,9.26796997606698,261.8505766904699,1.75e+03
4000,7.999999999999341,-53.687373813663726,43.91001670139329,-9.777357112270437,207.10435759380408,1.78e+03
4500,8.999999999999675,-80.44068064509929,61.22202118869715,-19.218659456402143,288.75751642510903,1.73e+03
5000,10.000000000000009,-74.71604163216034,42.36185753504082,-32.35418409711952,199.80236744014937,1.72e+03
5500,11.000000000000343,-87.76479957085394,48.33227231429508,-39.432527256558856,227.96220454143597,1.74e+03
6000,12.000000000000677,-89.43948652979896,45.67986194500646,-43.7596245847925,215.45194408441282,1.76e+03
6500,13.00000000000101,-73.07397784908972,61.32945575999441,-11.744522089095305,289.2642383428709,1.76e+03
7000,14.000000000001345,-57.68291875201976,35.75258118518569,-21.93033756683407,168.62929952935454,1.78e+03
7500,15.000000000001679,-89.7152562107367,45.69213505011417,-44.02312116062253,215.5098309571576,1.78e+03
8000,16.00000000000201,-69.45480631202736,57.41102546189256,-12.043780850134802,270.78271520469514,1.79e+03
8500,17.000000000001457,-65.42022950324031,45.83673178270948,-19.58349772053083,216.19183054777412,1.79e+03
9000,18.000000000000902,-71.96621503388451,44.724700003364894,-27.241515030519615,210.94686266604367,1.79e+03
9500,19.000000000000348,-73.46688941970933,55.04716857792551,-18.41972084178382,259.6334354235706,1.79e+03
10000,19.999999999999794,-78.46647635978297,49.756937185731594,-28.70953917405138,234.6817260800364,1.8e+03
10500,20.99999999999924,-76.1478296161365,65.74855130353075,-10.399278312605759,310.1071806244368,1.8e+03
11000,21.999999999998685,-55.75632596768992,78.924778223089,23.16845225539909,372.2536842398343,1.81e+03
11500,22.99999999999813,-72.91185020938246,64.16481235649177,-8.7470378528907,302.6373761956813,1.81e+03
12000,23.999999999997577,-70.24001428869451,69.35475949069307,-0.8852547980014407,327.1160885242161,1.81e+03
12500,24.999999999997023,-77.34914938910515,66.21226596508782,-11.136883424017327,312.29432001319407,1.82e+03
13000,25.99999999999647,-67.76253603012447,51.500590037398155,-16.26194599272631,242.90577450540513,1.82e+03
13500,26.999999999995914,-74.16109337040689,66.01996960052658,-8.14112376988031,311.38734210605935,1.81e+03
14000,27.99999999999536,-70.22042371926682,66.60007845044863,-3.620345268818184,314.1234620104222,1.81e+03
14500,28.999999999994806,-80.75319559955824,52.96902304161429,-27.784172557943947,249.83173119715178,1.82e+03
15000,29.99999999999425,-90.79978367830336,68.29326139611965,-22.50652228218371,322.1094659474431,1.82e+03
15500,30.999999999993697,-81.8152063414459,67.5836379932749,-14.231568348170995,318.76248250220505,1.82e+03
16000,31.999999999993143,-66.14187291834969,54.67419680202391,-11.467676116325784,257.87429056662336,1.82e+03
16500,32.999999999994365,-65.90320927258017,54.41545755107679,-11.487751721503379,256.6539306037449,1.82e+03
17000,33.99999999999559,-69.87541993182094,54.60856517625699,-15.266854755563955,257.564734872652,1.82e+03
17500,34.99999999999681,-64.16752161242766,81.71923832593754,17.551716713509876,385.43393120620806,1.82e+03
18000,35.99999999999803,-43.918712713290006,58.52299930789655,14.604286594606542,276.0274098401782,1.82e+03
18500,36.999999999999254,-68.70839988945227,59.778489481345375,-8.929910408106892,281.94900826738177,1.82e+03
19000,38.000000000000476,-80.19874311762396,43.90622000498934,-36.29252311263462,207.08645023623998,1.82e+03
19500,39.0000000000017,-61.89614839744172,55.45612815635753,-6.440020241084191,261.5623190163274,1.82e+03
20000,40.00000000000292,-51.88450742154237,65.8502386064379,13.965731184895532,310.58679518908724,1.82e+03
20500,41.00000000000414,-68.56877935907323,59.01211661266914,-9.556662746404093,278.33436239457626,1.82e+03
21000,42.000000000005365,-65.60937657649629,78.58026371082077,12.970887134324485,370.6287598579952,1.82e+03
21500,43.00000000000659,-64.38187019806355,77.05712889814174,12.675258700078189,363.4447986435454,1.82e+03
22000,44.00000000000781,-70.29307485359459,74.66702102143378,4.373946167839193,352.171704402846,1.81e+03
22500,45.00000000000903,-62.49271085721739,76.67981067287816,14.187099815660773,361.66515348460456,1.8e+03
23000,46.00000000001025,-68.94322984362952,63.43021664872996,-5.513013194899564,299.1726093024738,1.8e+03
23500,47.000000000011475,-61.67353605199605,50.05097468449194,-11.622561367504112,236.06857245049835,1.79e+03
24000,48.0000000000127,-62.008448178341496,62.313433663944124,0.3049854856026286,293.9052320612253,1.79e+03
24500,49.00000000001392,-74.84629714136099,35.78681518444471,-39.05948195691628,168.79076634164525,1.79e+03
25000,50.00000000001514,-83.68096618604613,49.014931811980055,-34.66603437406608,231.18201103080284,1.78e+03
25500,51.000000000016364,-66.57220977159523,35.53094762168177,-31.041262149913457,167.58395087683968,1.78e+03
26000,52.000000000017586,-83.40459363732953,69.78764317429243,-13.6169504630371,329.15781166484607,1.78e+03
26500,53.00000000001881,-75.25202834316588,62.752837779110834,-12.499190564055041,295.9777092277573,1.78e+03
27000,54.00000000002003,-66.49455152301016,46.51455322028521,-19.97999830272495,219.38881802211446,1.78e+03
27500,55.00000000002125,-82.98794849978003,51.99393804497769,-30.994010454802343,245.23268143588464,1.78e+03
28000,56.000000000022474,-78.5946090570651,58.27639050756276,-20.31821854950234,274.86426391114264,1.78e+03
28500,57.0000000000237,-54.190281577730275,56.49535628661304,2.3050747088827634,266.46390390465996,1.78e+03
29000,58.00000000002492,-79.36468763648008,60.49539968326437,-18.869287953215718,285.33036035910544,1.77e+03
29500,59.00000000002614,-79.14490524790017,58.03178863304954,-21.113116614850632,273.7105837740615,1.77e+03
30000,60.00000000002736,-77.08589611518448,60.947868474267366,-16.138027640917116,287.4644578915472,1.77e+03
30500,61.000000000028585,-66.53604097267817,49.46745323872832,-17.068587733949848,233.31635682305023,1.76e+03
31000,62.00000000002981,-70.15308966841258,67.49753655420832,-2.6555531142042526,318.3563796453774,1.76e+03
31500,63.00000000003103,-46.91396508982871,64.9495066094931,18.035541519664392,306.3384360308563,1.75e+03
32000,64.00000000003224,-92.32088093689526,59.18476004568732,-33.136120891207945,279.14864601307653,1.75e+03
32500,65.00000000002991,-77.03022711365509,62.477166215171145,-14.553060898483942,294.67748694488125,1.75e+03
33000,66.00000000002758,-67.2076940074694,48.560217168209164,-18.647476839260236,229.03732079242093,1.75e+03
33500,67.00000000002525,-77.53099494307389,51.2842312692815,-26.246763673792394,241.88530475734498,1.74e+03
34000,68.00000000002292,-66.70610387824127,61.40839566286807,-5.2977082153731985,289.6365633634771,1.74e+03
34500,69.00000000002059,-69.63821443379857,55.968431747547655,-13.669782686250912,263.9786311500248,1.74e+03
35000,70.00000000001826,-63.492375252302736,77.18209778009117,13.689722527788433,364.0342222411578,1.74e+03
35500,71.00000000001593,-50.63547176239081,68.70393701862261,18.068465256231804,324.0464433700733,1.73e+03
36000,72.0000000000136,-49.00426990433425,70.65942508598275,21.655155181648496,333.26962592377333,1.73e+03
36500,73.00000000001127,-62.92676801752532,57.98189345728923,-4.944874560236087,273.47525003704334,1.73e+03
37000,74.00000000000894,-76.6681325425925,63.18872534284473,-13.479407199747776,298.0336003581146,1.73e+03
37500,75.00000000000661,-76.82350460233283,57.179388876888794,-19.64411572544404,269.6901866716576,1.73e+03
38000,76.00000000000428,-78.50509720609989,59.162387405486285,-19.342709800613605,279.0431240473706,1.73e+03
38500,77.00000000000195,-84.5865337971336,69.63974879829487,-14.946784998838723,328.4602585315599,1.73e+03
39000,77.99999999999962,-56.74647430531331,57.2752595881603,0.5287852828469894,270.1423669157457,1.73e+03
39500,78.99999999999729,-72.10899164178409,55.78012689733675,-16.328864744447337,263.09047947156074,1.72e+03
40000,79.99999999999496,-82.80850328627639,54.681331385842164,-28.127171900434227,257.90794128027323,1.72e+03
40500,80.99999999999262,-88.53092590742745,62.126664234877005,-26.40426167255044,293.0243222932297,1.72e+03
41000,81.9999999999903,-76.90860533137857,62.128468682901804,-14.780136648476763,293.03283308591574,1.72e+03
41500,82.99999999998796,-51.98165197818889,67.75453209602125,15.772880117832358,319.5685152943704,1.72e+03
42000,83.99999999998563,-54.48565014088672,85.30227330376809,30.81662316288137,402.3335412055862,1.72e+03
42500,84.9999999999833,-79.01723217515973,57.306110176450005,-21.71112199870973,270.2878756572381,1.72e+03
43000,85.99999999998097,-47.73269082271145,71.30240825356447,23.569717430853018,336.3022965048669,1.72e+03
43500,86.99999999997864,-59.846875681265374,38.70245994778562,-21.144415733479754,182.54258838693949,1.71e+03
44000,87.99999999997631,-67.18058187696442,54.94018680471631,-12.240395072248113,259.12884915649147,1.71e+03
44500,88.99999999997398,-84.5940262098593,52.14446547129665,-32.449560738562646,245.94265351674352,1.71e+03
45000,89.99999999997165,-76.02265873595024,74.5883728702753,-1.4342858656749513,351.80075544756806,1.71e+03
45500,90.99999999996932,-84.8528947258601,62.61344867770755,-22.239446048152544,295.3202717574411,1.71e+03
46000,91.99999999996699,-77.64156322432609,54.67844863153457,-22.96311459279152,257.8943445881327,1.7e+03
46500,92.99999999996466,-82.79992277353631,57.16297952583676,-25.63694324769955,269.6127909345694,1.7e+03
47000,93.99999999996233,-80.08738282858394,68.89480109879776,-11.192581729786184,324.9466658177489,1.7e+03
47500,94.99999999996,-78.18867848825175,45.40009101083281,-32.78858747741894,214.1323868638023,1.7e+03
48000,95.99999999995767,-74.05513801527559,65.6469107128241,-8.408227302451493,309.6277863808202,1.7e+03
48500,96.99999999995534,-93.45506019932509,56.52067375644749,-36.934386442877596,266.5833153446879,1.7e+03
49000,97.999999999953,-61.942631691053975,66.44918027890948,4.506548587855505,313.4117412863965,1.7e+03
49500,98.99999999995067,-83.87199351456366,75.15019400686934,-8.721799507694314,354.45062020093854,1.7e+03
50000,99.99999999994834,-71.58151355932932,52.092790295022056,-19.488723264307268,245.69892429526143,1.71e+03
50500,100.99999999994601,-73.24417327318224,39.02944834411892,-34.21472492906332,184.08484973982772,1.71e+03
51000,101.99999999994368,-47.04522434435785,92.6378848533133,45.59266050895545,436.93241480332824,1.71e+03
51500,102.99999999994135,-48.31709448660331,53.02815413340243,4.7110596467991215,250.11062671345013,1.7e+03
52000,103.99999999993902,-74.95265433131999,65.03978824723221,-9.912866084087781,306.76425505783664,1.71e+03
52500,104.99999999993669,-76.13905541386339,65.36724397507312,-10.771811438790266,308.3087206091957,1.71e+03
53000,105.99999999993436,-82.66377927208487,69.7494886473103,-12.914290624774566,328.97785343678015,1.71e+03
53500,106.99999999993203,-85.60900019121618,56.38840742834282,-29.22059276287336,265.9594728829623,1.71e+03
54000,107.9999999999297,-70.63379842310678,74.80271931830912,4.1689208952023336,352.81173396129634,1.71e+03
54500,108.99999999992737,-74.77286363564235,54.369669884117876,-20.403193751524476,256.43797019052687,1.71e+03
55000,109.99999999992504,-81.68415831772097,54.21451758464237,-27.4696407330786,255.70618460432243,1.71e+03
55500,110.99999999992271,-86.65105987968923,61.70576154972782,-24.94529832996141,291.0391082859081,1.72e+03
56000,111.99999999992038,-53.50417530024424,54.40150467948519,0.8973293792409507,256.5881210066496,1.72e+03
56500,112.99999999991805,-76.80628188162518,55.88471273117162,-20.921569150453564,263.58376513977356,1.72e+03
57000,113.99999999991572,-76.83895919268252,55.55215895232967,-21.286800240352854,262.0152543099822,1.72e+03
57500,114.99999999991338,-78.06019408965949,55.598692039656044,-22.461502050003446,262.2347305452823,1.72e+03
58000,115.99999999991105,-66.87367087672465,64.47026159008188,-2.40340928664277,304.0780467317549,1.72e+03
58500,116.99999999990872,-78.20489729168594,66.67996880381317,-11.52492848787277,314.50026989059273,1.72e+03
59000,117.9999999999064,-64.5272682690022,62.14039715362331,-2.386871115378895,293.0890944688857,1.72e+03
59500,118.99999999990406,-77.50618210589164,53.251355261285084,-24.254826844606555,251.16336888202423,1.72e+03
60000,119.99999999990173,-66.86038407501474,84.29892794020262,17.43854386518788,397.60119964491093,1.72e+03
60500,120.9999999998994,-79.13120393402642,66.18474572505603,-12.946458208970384,312.1645190688817,1.24e+03
61000,121.99999999989707,-65.87936180911493,66.57312527839532,0.6937634692803982,313.99633567792324,1.24e+03
61500,122.99999999989474,-79.09296781907324,68.93536932530536,-10.157598493767878,325.1380084115519,1.24e+03
62000,123.99999999989241,-84.13183495157864,81.10072820122686,-3.031106750351782,382.51668927221885,1.25e+03
62500,124.99999999989008,-84.45765238097715,72.21255288856773,-12.245099492409423,340.59505096295885,1.25e+03
63000,125.99999999988775,-83.79043805629044,63.25030702943488,-20.540131026855562,298.32405425904403,1.25e+03
63500,126.99999999988542,-58.954863026994076,51.82799770287588,-7.126865324118199,244.45001336760302,1.26e+03
64000,127.99999999988309,-91.61485404236373,42.084458686774234,-49.5303953555895,198.49399831202538,1.26e+03
64500,128.99999999988785,-73.2901723581308,57.89038526443023,-15.399787093700574,273.0436458856372,1.26e+03
