#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
5000,10.000000000000009,-65.14859989087563,57.2625619745243,-7.886037916351327,270.0824778218075,0
10000,19.999999999999794,-35.43608589516225,60.7230587263193,25.28697283115705,286.4041285651835,539
15000,29.99999999999425,-83.43317634626146,79.82295623000286,-3.6102201162586027,376.4899973433288,517
20000,40.00000000000292,-60.80068370354638,63.02192241311722,2.2212387095708337,297.24686384100266,526
25000,50.00000000001514,-66.23296597575052,60.37928363694586,-5.85368233880466,284.78269171796904,524
30000,60.00000000002736,-95.70041989764286,60.320144718159,-35.38027517948386,284.50375928513864,399
35000,70.00000000001826,-42.453421150683425,53.44509755610385,10.991676405420428,252.07716661022948,408
40000,79.99999999999496,-65.33718572572434,51.70889299047369,-13.628292735250646,243.88824849476785,420
45000,89.99999999997165,-60.04961819778691,45.231182153828634,-14.818436043958279,213.33571760813695,431
50000,99.99999999994834,-56.8530637093063,52.209156689510294,-4.6439070197960035,246.24777371929795,439
55000,109.99999999992504,-74.03548309890539,67.77533195803981,-6.260151140865574,319.6666191527836,446
60000,119.99999999990173,-64.41834568143531,70.52246009478205,6.1041144133467355,332.6236219218081,452
65000,129.99999999989262,-56.75564351855792,67.0188588845977,10.263215366039788,316.0986662873212,457
70000,139.99999999994037,-86.92533973586978,72.54631119455267,-14.379028541317112,342.16924302083646,462
75000,149.99999999998812,-71.48355398162676,54.78653932912107,-16.697014652505686,258.4041611668362,472
80000,160.00000000003587,-89.82816695016663,60.57352334107457,-29.254643609092064,285.6988355084931,475
85000,170.00000000008362,-83.38954809902043,53.862251842441125,-29.527296256579305,254.04470105861975,478
90000,180.00000000013137,-100.0783245249404,47.56964832389187,-52.50867620104853,224.36524048897022,480
95000,190.0000000001791,-104.72019159977208,51.64369053626187,-53.07650106351021,243.58071701544935,484
100000,200.00000000022686,-56.0107929419064,65.2978415450334,9.287048603127005,307.98137967952647,485
105000,210.0000000002746,-86.76401082207587,71.71335398897506,-15.050656833100817,338.2405479320276,487
110000,220.00000000032236,-72.0348302516577,68.71195255994007,-3.322877691717622,324.08424917521813,490
115000,230.0000000003701,-75.92387394505204,76.00264411562694,0.07877017057489866,358.4712547945348,490
120000,240.00000000041786,-59.495315863227006,63.27580164888285,3.7804857856558414,298.44430123637443,491
125000,250.0000000004656,-67.80134639061725,60.40174707896149,-7.399599311655763,284.88864195614894,491
130000,260.00000000051335,-42.89249612390995,95.8128492099273,52.92035308601734,451.9073340326098,467
135000,270.0000000005611,-70.16763345481013,58.94541222083578,-11.222221233974352,278.01974693192955,467
140000,280.00000000060885,-74.28448434394886,65.39616884222606,-8.8883155017228,308.44514656573614,468
145000,290.0000000006566,-57.957406376779545,60.26765943271493,2.3102530559353838,284.2562091327681,468
150000,300.00000000070435,-79.03756037748099,75.23708978690269,-3.8004705905783,354.86046961693404,470
155000,310.0000000007521,-77.8349308900215,61.33809771153887,-16.496833178482625,289.3049986512794,471
160000,320.00000000079984,-68.77584981959217,81.66585337498957,12.8900035553974,385.18213772486087,472
165000,330.0000000008476,-98.15700465569535,54.43479752981801,-43.72220712587733,256.7451488307913,474
170000,340.00000000089534,-88.51113246305613,62.0916094392549,-26.419523023801226,292.85898414322924,475
175000,350.0000000009431,-74.71284689725144,51.25446430314712,-23.45838259410432,241.74490698795444,477
180000,360.00000000099084,-74.27991399682651,87.47120078506339,13.19128678823688,412.5634241895969,478
185000,370.0000000010386,-71.13544419750315,51.79881317068339,-19.33663102681976,244.31236268455947,479
190000,380.00000000108633,-65.52574636390273,66.56968649328773,1.0439401293850068,313.98011643151636,480
195000,390.0000000011341,-80.73172645547311,45.99330289797627,-34.73842355749684,216.93030806796247,481
200000,400.00000000118183,-73.72850919048642,55.10188976588488,-18.626619424601543,259.8915313508886,483
205000,410.0000000012296,-79.72439525874506,67.6196739372737,-12.10472132147136,318.93244830028044,484
210000,420.00000000127733,-79.57487564507755,59.18665169442768,-20.388223950649873,279.1575680934262,484
215000,430.0000000013251,-59.88216477876995,57.780046168761274,-2.1021186100086737,272.5232245958572,484
220000,440.0000000013728,-78.23756334697828,64.66599862961797,-13.571564717360303,305.0012527989745,485
225000,450.0000000014206,-78.95162320834129,69.39316820015786,-9.55845500818343,327.2972456199605,470
230000,460.0000000014683,-72.55085642723134,66.25559482634601,-6.2952616008853255,312.4986833145604,471
235000,470.00000000151607,-82.75011463115561,68.4417281179336,-14.308386513222018,322.8097185857975,472
240000,480.0000000015638,-78.01258313034486,74.42489863776774,-3.587684492577125,351.0297189404117,473
245000,490.00000000161157,-80.8460918473329,86.61226329504409,5.766171447711187,408.51219145394555,474
250000,500.0000000016593,-84.3310218519182,52.93129846534584,-31.399723386572354,249.6538008586892,475
255000,510.00000000170706,-86.87312268675305,80.99206213254503,-5.88106055420802,382.0041589195288,476
260000,520.0000000015274,-76.16940464341315,52.59876547219937,-23.570639171213777,248.0853880659389,477
265000,530.0000000012909,-51.759462389629334,53.7546010235274,1.9951386338980655,253.5369591953636,478
270000,540.0000000010544,-81.15200093254953,43.486969836460794,-37.66503109608873,205.10903042757374,478
275000,550.000000000818,-61.739988518791506,50.15069234229452,-11.589296176496987,236.538897060038,479
280000,560.0000000005815,-80.96421834938883,66.07582830920086,-14.888390040187971,311.650803221428,480
285000,570.000000000345,-71.59397972554552,45.375001152541756,-26.218978573003767,214.0140489679453,480
290000,580.0000000001086,-75.32787600968732,55.71287696723469,-19.614999042452624,262.773290943332,481
295000,589.9999999998721,-48.900972537269354,50.09632841107692,1.1953558738075643,236.28248615662932,481
300000,599.9999999996356,-71.7179450643307,48.88864276051716,-22.82930230381355,230.58636077058503,482
305000,609.9999999993992,-75.41977559966745,86.6799952159712,11.260219616303758,408.8316533222386,482
310000,619.9999999991627,-78.56783809590252,44.245147300082195,-34.32269079582032,208.68502215659598,483
315000,629.9999999989262,-69.03370051359525,47.416703334613814,-21.616997178981435,223.64386582024645,483
320000,639.9999999986898,-57.97309081975254,55.202200993523256,-2.7708898262292863,260.3646555699197,473
325000,649.9999999984533,-70.08982297315379,38.3396173363899,-31.750205636763887,180.83121837194278,473
330000,659.9999999982168,-88.41437355351536,56.55737458565183,-31.856998967863532,266.756417115685,474
335000,669.9999999979804,-62.61834685585927,49.46019821695245,-13.158148638906823,233.28213805619257,475
340000,679.9999999977439,-70.18087537911197,75.58068349953578,5.399808120423813,356.48105098933627,475
345000,689.9999999975074,-72.76562177730784,54.826512480494344,-17.9391092968135,258.5926970513124,476
350000,699.999999997271,-83.55662349550039,80.20374313663314,-3.352880358867253,378.28600275626445,477
355000,709.9999999970345,-63.43653382186312,62.34970136389599,-1.0868324579671338,294.07629095084076,477
360000,719.999999996798,-88.55101572314413,63.40262252124824,-25.148393201895892,299.0424598633532,478
365000,729.9999999965615,-84.21532402944285,64.55714312477576,-19.65818090466709,304.4878289587102,479
370000,739.9999999963251,-73.2243832959648,66.72464492929501,-6.4997383666697885,314.71098764847056,479
375000,749.9999999960886,-48.15068551328295,80.37154314202789,32.22085762874494,379.0774420435197,480
380000,759.9999999958521,-72.8319846211707,51.25362263240906,-21.578361988761642,241.74093719494124,480
385000,769.9999999956157,-85.73200042644748,59.99686180856828,-25.7351386178792,282.9789750937057,481
390000,779.9999999953792,-48.629697894561104,64.97832903623343,16.34863114167233,306.47437882074286,481
395000,789.9999999951427,-84.23258981807157,53.277284904369,-30.955304913702577,251.2856676757152,482
400000,799.9999999949063,-88.53889010008425,78.60639467491221,-9.932495425172036,370.75200819488987,482
405000,809.9999999946698,-89.86070852519777,63.28389261466773,-26.576815910530037,298.48246278576727,483
410000,819.9999999944333,-96.96182687218027,47.86102903928304,-49.10079783289723,225.73955597344593,483
415000,829.9999999941969,-78.99373228306649,58.799653341831984,-20.19407894123451,277.33226600462865,483
420000,839.9999999939604,-75.08141712561155,69.34877098165205,-5.732646143959499,327.08784334439036,483
425000,849.9999999937239,-78.93037326901685,58.967160477048125,-19.96321279196873,278.1223239512524,483
430000,859.9999999934874,-72.36443443919416,72.67622999733798,0.3117955581438281,342.78201323163336,483
435000,869.999999993251,-82.39884290480404,38.99594579969229,-43.402897105111755,183.92683288029383,483
440000,879.9999999930145,-66.59687997964966,75.65301003479433,9.056130055144678,356.8221836453216,483
445000,889.999999992778,-59.13058501499472,54.40102426066992,-4.729560754324801,256.5858550810685,483
450000,899.9999999925416,-69.65198349795173,71.07442292825729,1.422439430305559,335.226989368009,482
455000,909.9999999923051,-45.69225290825125,83.45367660315715,37.7614236949059,393.61451851120614,482
460000,919.9999999920686,-77.1898017594358,73.97471822704128,-3.215083532394516,348.90641469758145,475
465000,929.9999999918322,-75.95719041292705,78.43188598410337,2.4746955711763263,369.9289269706153,475
470000,939.9999999915957,-68.12024825473782,44.42334419815089,-23.696904056586924,209.52549904255798,475
475000,949.9999999913592,-70.45781596125744,69.65553082242607,-0.8022851388313654,328.53469544174027,475
480000,959.9999999911228,-64.3123302325912,82.60547284382396,18.293142611232767,389.61391209194744,475
485000,969.9999999908863,-92.41390419640811,64.63940757350818,-27.77449662289993,304.8758344091157,475
490000,979.9999999906498,-36.79147681465565,49.41491319464239,12.623436379986735,233.0685483980987,475
495000,989.9999999904134,-76.58495210103865,42.590481147602546,-33.99447095343611,200.88068509901896,475
500000,999.9999999901769,-58.897339116279,63.066397042891886,4.169057926612886,297.456631231695,475
505000,1009.9999999899404,-83.1987537832756,72.82221715042328,-10.376536632852321,343.47057082800796,475
510000,1019.999999989704,-62.527802347467514,54.981171462013286,-7.546630885454228,259.3221558723239,475
515000,1029.9999999894676,-61.00386525702197,84.10325061022688,23.09938535320491,396.6782752015911,475
520000,1039.9999999892311,-45.40644778480441,59.44247958884692,14.036031804042508,280.3641964599919,475
525000,1049.9999999889947,-48.55907135899179,38.20227963476833,-10.356791724223456,180.18345645781804,475
530000,1059.9999999887582,-78.7576592513542,80.1033985310382,1.3457392796839969,377.81272110800023,475
535000,1069.9999999885217,-74.93535742734457,62.60521061105593,-12.33014681628864,295.28141639755137,475
540000,1079.9999999882853,-82.66229858991574,49.12206723685764,-33.5402313530581,231.6873220056472,476
545000,1089.9999999880488,-86.87682016204622,59.46737396843709,-27.409446193609128,280.4816123682521,476
550000,1099.9999999878123,-79.59382595389616,96.58791804392389,16.994092090027735,455.56299497319765,476
555000,1109.9999999875758,-48.46663692302536,43.756589446647155,-4.710047476378207,206.38070828964493,477
560000,1119.9999999873394,-51.69409071948394,74.11332473026175,22.419234010777814,349.5601609943094,477
565000,1129.999999987103,-72.24934731796566,62.80543396892579,-9.443913349039867,296.2257824675737,478
